x,y,HAADF Intensity,SEEBIC Intensity,frame,atom_id,k-means labels,Type,Scaled SEEBIC Intensity
338.2,90.83333333333333,0.06549136620014906,-2.126026064157486,0,83,0,W,-0.284368995584503
189.25,94.3125,0.06303992355242372,-1.851520597934723,0,84,0,W,-0.009863529361739953
209.24,93.04,0.0496456753462553,-2.0245310068130493,0,85,1,Se-Se,-0.18287393824006637
450.22222222222223,92.96296296296296,0.05668633058667183,-2.0802512615919113,0,86,1,Se-Se,-0.23859419301892837
430.375,94.84375,0.06314068962819874,-2.048912927508354,0,87,0,W,-0.20725585893537124
58.18518518518518,95.5925925925926,0.05169014120474458,-1.7297850623726845,0,88,1,Se-Se,0.11187200620029847
38.733333333333334,98.3,0.06846791552379727,-1.693669632077217,0,89,0,W,0.14798743649576585
299.75,97.16666666666667,0.05134644592180848,-1.8492668569087982,0,90,1,Se-Se,-0.007609788335815271
280.375,98.84375,0.07037343131378293,-1.9043218865990639,0,91,0,W,-0.06266481802608093
130.40625,102.4375,0.06292746774852276,-1.8558425232768059,0,92,0,W,-0.01418545470382293
149.4,100.76,0.05186771880835295,-1.667490802705288,0,93,1,Se-Se,0.174166265867695
391.6,101.96,0.05175807420164347,-1.9959626346826553,0,94,1,Se-Se,-0.1543055661096724
371.1818181818182,104.03030303030303,0.06835699267685413,-2.138302765786648,0,95,0,W,-0.29664569721366485
240.9090909090909,105.9090909090909,0.05481853801757097,-1.8469397351145744,0,96,1,Se-Se,-0.005282666541591485
483.0,105.82608695652173,0.05306288646534085,-2.107974275946617,0,97,1,Se-Se,-0.2663172073736342
221.45714285714286,108.2,0.06849706312641501,-2.0328208282589912,0,98,0,W,-0.1911637596860083
463.0740740740741,108.4074074074074,0.06266874098218977,-2.1059652268886566,0,99,0,W,-0.26430815831567367
90.46153846153847,109.3076923076923,0.051270837895572186,-1.9432771354913712,0,100,1,Se-Se,-0.10162006691838821
71.1,110.8,0.06384980282746255,-1.8193711787462234,0,101,0,W,0.022285889826759497
311.7096774193548,113.19354838709677,0.07223195116966963,-1.8031078726053238,0,102,0,W,0.038549195967659156
331.60869565217394,111.78260869565217,0.04892147984355688,-1.924239605665207,0,103,1,Se-Se,-0.08258253709222396
181.59259259259258,114.07407407407408,0.052234409376978874,-1.8753960952162743,0,104,1,Se-Se,-0.033739026643291314
162.41935483870967,115.54838709677419,0.06384552782401443,-2.005435161292553,0,105,0,W,-0.16377809271957
422.7307692307692,114.96153846153847,0.05438468954525888,-1.9690055027604103,0,106,1,Se-Se,-0.12734843418742736
403.3333333333333,117.06060606060606,0.07296191668137908,-1.9623594731092453,0,107,0,W,-0.12070240453626235
31.217391304347824,116.91304347826087,0.05757021368481219,-1.4977121502161026,0,108,1,Se-Se,0.34394491835688035
273.3333333333333,118.125,0.04900946724228561,-1.7478098645806313,0,110,1,Se-Se,0.09384720399235169
253.74193548387098,120.03225806451613,0.061437445459887385,-1.9270910024642944,0,111,0,W,-0.08543393389131149
122.9090909090909,121.9090909090909,0.0513936853967607,-1.9294829294085503,0,113,1,Se-Se,-0.08782586083556732
102.57575757575758,124.24242424242425,0.0594848298933357,-1.7936578169465065,0,114,0,W,0.04799925162647645
364.1111111111111,123.29629629629629,0.059614346362650394,-1.877120815217495,0,115,1,Se-Se,-0.03546374664451202
344.0,125.5,0.06656541163101792,-1.9900771901011467,0,116,0,W,-0.14842012152816375
193.5483870967742,128.90322580645162,0.06491461745463312,-1.985037125647068,0,117,0,W,-0.14338005707408508
213.30434782608697,128.2173913043478,0.05045194108970463,-1.9675584584474564,0,118,1,Se-Se,-0.1259013898744734
454.34615384615387,128.34615384615384,0.05401969235390425,-1.9142565056681633,0,119,1,Se-Se,-0.07259943709518035
435.1818181818182,130.03030303030303,0.06826408766210079,-2.15041883289814,0,120,0,W,-0.308761764325157
62.44444444444444,130.40740740740742,0.05424258345738053,-1.8677879124879837,0,121,1,Se-Se,-0.026130843915000757
42.375,132.15625,0.06250994838774204,-1.8492629826068878,0,122,0,W,-0.00760591403390487
304.5,133.16666666666666,0.05272406153380871,-1.8874962627887726,0,123,1,Se-Se,-0.045839194215789636
284.57575757575756,135.24242424242425,0.06435707840137184,-2.052412688732147,0,124,0,W,-0.21075562015916427
153.5,136.0,0.05275475489906967,-1.8071206137537956,0,125,1,Se-Se,0.03453645481918732
133.68571428571428,137.9142857142857,0.06362126674503088,-2.0188812762498856,0,126,0,W,-0.1772242076769026
376.125,139.15625,0.05858411197550595,-2.0208696499466896,0,127,0,W,-0.17921258137370666
395.58620689655174,138.27586206896552,0.06089312257245183,-1.8960520923137665,0,128,1,Se-Se,-0.05439502374078353
245.33333333333334,141.875,0.04921170463785529,-1.6145235151052475,0,129,1,Se-Se,0.22713355346773545
486.5,142.21428571428572,0.05732661718502641,-2.0364205688238144,0,130,1,Se-Se,-0.19476350025083145
225.42424242424244,143.75757575757575,0.06398112024180591,-1.8311938792467117,0,131,0,W,0.010463189326271216
467.44827586206895,144.68965517241378,0.06849170615896583,-2.3266365379095078,0,132,0,W,-0.4849794693365248
93.5925925925926,145.07407407407408,0.053632633527740836,-1.7163044661283493,0,133,1,Se-Se,0.12535260244463364
74.5,146.8125,0.061798105016350746,-1.9612772315740585,0,134,0,W,-0.11962016300107559
316.258064516129,148.58064516129033,0.06053474242798984,-2.068143680691719,0,135,0,W,-0.2264866121187361
334.38461538461536,147.3846153846154,0.038084200117737055,-1.962457723915577,0,136,1,Se-Se,-0.12080065534259399
186.20833333333334,150.29166666666666,0.048418099293485284,-2.037868484854698,0,137,1,Se-Se,-0.19621141628171523
427.2068965517241,151.0,0.06246231170371175,-1.8897045254707336,0,138,1,Se-Se,-0.048047456897750696
407.3225806451613,152.61290322580646,0.0622480851598084,-2.0012841895222664,0,139,0,W,-0.15962712094928344
34.44444444444444,153.7037037037037,0.0529621341265738,-1.6174824088811874,0,140,1,Se-Se,0.2241746596917955
165.58064516129033,153.5483870967742,0.06649184646084905,-2.0294058695435524,0,141,0,W,-0.18774880097056945
257.375,157.15625,0.06473673810251057,-1.9644819051027298,0,143,0,W,-0.12282483652974685
277.2,155.5,0.04264374473132193,-1.9153090566396713,0,144,1,Se-Se,-0.07365198806668838
125.33333333333333,159.125,0.049146478762850165,-1.8318097442388535,0,146,1,Se-Se,0.009847324334129492
106.27586206896552,160.41379310344828,0.06336558167822659,-1.736750304698944,0,147,0,W,0.10490676387403886
346.6333333333333,160.63333333333333,0.07209387002512813,-1.8601225391030312,0,148,0,W,-0.01846547053004821
367.04347826086956,159.91304347826087,0.05602657189592719,-1.8197980001568794,0,149,1,Se-Se,0.021859068416103522
197.26470588235293,165.0,0.06180323753505945,-2.0002085268497467,0,150,0,W,-0.15855145827676376
217.0,163.61904761904762,0.04602944268845022,-1.8435820043087006,0,151,1,Se-Se,-0.0019249357357176144
459.24,164.2,0.05637269583530724,-1.7957972064614296,0,152,1,Se-Se,0.04585986211155335
438.48387096774195,165.90322580645162,0.0688861757516861,-2.1970068365335464,0,153,0,W,-0.3553497679605635
66.4074074074074,165.92592592592592,0.05049679824151099,-1.616959698498249,0,154,1,Se-Se,0.2246973700747339
46.375,169.15625,0.0621013306081295,-1.7447581142187119,0,155,0,W,0.0968989543542711
288.0,168.5,0.06158252106979489,-2.0763783752918243,0,156,0,W,-0.2347213067188414
307.0,167.5,0.04835752001963556,-1.7472415640950203,0,157,1,Se-Se,0.09441550447796265
137.5,174.0,0.06289128633216023,-2.0499313473701477,0,158,0,W,-0.20827427879716476
378.5806451612903,174.06451612903226,0.06825112365186214,-2.100455582141876,0,159,0,W,-0.2587985135688933
398.5,172.72727272727272,0.05436368705704808,-2.213247001171112,0,160,1,Se-Se,-0.3715899325981291
155.9090909090909,173.9090909090909,0.05076144868507981,-2.000069960951805,0,162,1,Se-Se,-0.15841289237882217
229.29032258064515,177.8709677419355,0.066866185516119,-1.9999022111296654,0,164,0,W,-0.15824514255668243
248.9090909090909,177.0909090909091,0.05204367358237505,-1.8670714646577835,0,165,1,Se-Se,-0.02541439608480056
470.17857142857144,178.39285714285714,0.06772414315491915,-2.066486358642578,0,166,0,W,-0.22482929006959518
98.24,179.2,0.052974525606259704,-1.9365255534648895,0,167,1,Se-Se,-0.09486848489190658
77.80645161290323,181.2258064516129,0.06670751119963825,-2.030272953212261,0,168,0,W,-0.18861588463927825
338.44444444444446,180.40740740740742,0.057741706958040595,-1.8751945793628693,0,169,1,Se-Se,-0.033537510789886316
318.4193548387097,181.4516129032258,0.0641962680965662,-2.103158190846443,0,170,0,W,-0.26150112227346023
188.70833333333334,183.70833333333334,0.049503976944833994,-1.8539130315184593,0,171,1,Se-Se,-0.012255962945476373
429.7083333333333,184.29166666666666,0.05239798524416983,-1.7836663872003555,0,172,1,Se-Se,0.05799068137262742
167.93103448275863,186.0,0.06237321812659502,-1.9710000678896904,0,173,0,W,-0.12934299931670745
409.9259259259259,186.59259259259258,0.06920237699523568,-2.1624274402856827,0,174,0,W,-0.32077037171269973
37.30769230769231,187.5,0.050194027135148644,-1.6277324482798576,0,175,1,Se-Se,0.2139246202931253
259.24242424242425,190.57575757575756,0.06322970753535628,-1.947680801153183,0,177,0,W,-0.10602373258020004
279.90909090909093,188.9090909090909,0.05332145816646516,-1.9449377655982971,0,178,1,Se-Se,-0.10328069702531417
128.41666666666666,191.29166666666666,0.049368836684152484,-1.8853676095604897,0,179,1,Se-Se,-0.04371054098750671
109.03333333333333,193.26666666666668,0.06478125625289977,-2.065716177225113,0,181,0,W,-0.22405910865212997
351.07142857142856,194.28571428571428,0.06379149365238845,-2.078721195459366,0,182,0,W,-0.2370641268863829
370.5,193.0,0.06369549361988902,-1.6879794895648956,0,183,1,Se-Se,0.15367757900808732
462.125,196.83333333333334,0.05595089425332844,-2.0685065537691116,0,184,1,Se-Se,-0.2268494851961287
199.41935483870967,198.5483870967742,0.06422090786509216,-2.4158467799425125,0,185,0,W,-0.5741897113695296
